feature,missing_ratio,mean,std,min,max,skewness
VIX_High,0.0,19.291919657380948,7.786829021358712,0.0,85.47000122070312,2.7978343004277746
VIX_Low,0.0,17.216256169610247,6.235114089438135,0.0,70.37000274658203,2.4664533533822732
VIX_Close,0.0,18.059460005950175,6.913538809184119,9.140000343322754,82.69000244140625,2.710994752455998
VIX_Adj_Close,0.0,18.059460005950175,6.913538809184119,9.140000343322754,82.69000244140625,2.710994752455998
VIX_Volume,0.0,0.0,0.0,0.0,0.0,0.0
USD_KRW_Open,0.0,1214.4699881675804,124.68016554159729,999.8400268554688,1554.280029296875,0.6707514310938166
USD_KRW_High,0.0,1219.8569220579648,125.87985644461445,1009.780029296875,1556.3900146484375,0.6711397247939521
USD_KRW_Low,0.0,1209.3655556888223,124.04070960573176,999.4199829101562,1537.43994140625,0.6703609822517509
USD_KRW_Close,0.0,1214.2442282286372,124.77347417087284,999.8300170898438,1554.47998046875,0.6701135792642471
USD_KRW_Adj_Close,0.0,1214.2442282286372,124.77347417087284,999.8300170898438,1554.47998046875,0.6701135792642471
USD_KRW_Volume,0.0,0.0,0.0,0.0,0.0,0.0
USD_JPY_Open,0.0,122.90361906220578,18.317350176427183,99.89299774169922,161.73300170898438,0.7182064846249243
USD_JPY_High,0.0,123.3122150445008,18.413938452903174,100.37999725341795,161.94200134277344,0.7117620732681486
USD_JPY_Low,0.0,122.46988442590215,18.20114583142666,99.572998046875,161.58700561523438,0.7235917649896112
USD_JPY_Close,0.0,122.90331418034589,18.31889528512297,99.90599822998048,161.76300048828125,0.7183204804771632
USD_JPY_Adj_Close,0.0,122.90331418034589,18.31889528512297,99.90599822998048,161.76300048828125,0.7183204804771632
USD_JPY_Volume,0.0,0.0,0.0,0.0,0.0,0.0
DOLLAR_INDEX_Open,0.0,97.18302601703421,6.210364523624955,79.13999938964844,114.19000244140624,-0.5826170630712336
DOLLAR_INDEX_High,0.0,97.49319068373603,6.257962200906168,79.23999786376953,114.77999877929688,-0.5765598897813081
DOLLAR_INDEX_Low,0.0,96.88816923431004,6.152301460305612,78.91000366210938,113.33000183105467,-0.5913992532249582
DOLLAR_INDEX_Close,0.0,97.19872575093541,6.203822359487018,79.13999938964844,114.11000061035156,-0.5827417788824514
DOLLAR_INDEX_Adj_Close,0.0,97.19872575093541,6.203822359487018,79.13999938964844,114.11000061035156,-0.5827417788824514
DOLLAR_INDEX_Volume,0.0,7668.752057951926,306401.5588596076,0.0,14290000.0,41.71330323581941
US_10Y_Open,0.0,2.691751399429213,1.1170554827428425,0.4839999973773956,4.997000217437744,0.1648996761519927
US_10Y_High,0.0,2.719892987401854,1.1204511450278152,0.5379999876022339,4.997000217437744,0.1677641258981534
US_10Y_Low,0.0,2.664245639029482,1.1132044533991923,0.3980000019073486,4.894000053405762,0.16317178080171668
US_10Y_Close,0.0,2.6927095804318104,1.1167191584732148,0.4990000128746032,4.98799991607666,0.1669478014725838
US_10Y_Adj_Close,0.0,2.6927095804318104,1.1167191584732148,0.4990000128746032,4.98799991607666,0.1669478014725838
US_10Y_Volume,0.0,0.0,0.0,0.0,0.0,0.0
target_prev_close,0.0,150135.79189990123,273160.48401892494,25750.0,2919000.0,5.835707746665632
SOXX_ret_1d,0.0,0.0012715435598692362,0.02049159825644756,-0.1522776869490461,0.1857160944949234,0.029362133360900024
SOXX_ret_5d,0.0,0.006256822701063556,0.04166037112746305,-0.1987714848821633,0.1704795806921106,-0.22034376632328778
SOXX_ret_20d,0.0,0.024634551456333625,0.08289511795900575,-0.340230723455712,0.4730310552935759,0.28669779519953104
SOXX_vol_20d,0.0,0.01834898926906317,0.008968223330266704,0.0044467923630704,0.0748011343133612,2.2303453126874793
SOXX_volchg_5d,0.0,0.10605571433017165,0.7128699584454983,-0.8564961370730304,8.58077380760943,3.006377353556357
SMH_ret_1d,0.0,0.0013179241495102872,0.019829656439709943,-0.144116151224667,0.1716032531620119,-0.022586905288922647
SMH_ret_5d,0.0,0.0064937645537809004,0.04046427320351462,-0.1923105553327692,0.183356022734201,-0.23499431402332538
SMH_ret_20d,0.0,0.025662643477664383,0.08031507222737343,-0.3361576374724189,0.3964637725713533,0.10906508258111688
SMH_vol_20d,0.0,0.017860855709227692,0.008564419284816984,0.00444493635487,0.0711242355949587,2.0413627125951628
SMH_volchg_5d,0.0,0.08460788090068506,0.6335366843711637,-0.8712445294326381,7.289202419220885,3.2555050086234516
NVDA_ret_1d,0.0,0.002498926492317325,0.03003007133113024,-0.1875586475061645,0.2980669906607602,0.6418795333337811
NVDA_ret_5d,0.0,0.01240695730734281,0.06422121834466847,-0.2849943431691352,0.3632876476378124,0.16920824826454536
NVDA_ret_20d,0.0,0.05040000741414445,0.13153440585646334,-0.3741890654197821,0.5165211505516354,0.26098957812164403
NVDA_vol_20d,0.0,0.02742239625858663,0.012390113134976658,0.0072150704577246,0.0870221345372299,1.4162770597595986
NVDA_volchg_5d,0.0,0.07468482955759993,0.5820391254658426,-0.8167225605838666,6.721571233281716,3.331936286445397
AMD_ret_1d,0.0,0.0023491943577412773,0.03782832435765808,-0.2371512165474398,0.5229008335186689,1.5497808774051438
AMD_ret_5d,0.0,0.01156476620332849,0.08163558383849229,-0.3268078338303896,0.4777777552114106,0.5005796882277078
AMD_ret_20d,0.0,0.046023785901749985,0.17209043578903374,-0.4829702269844356,0.9635492539899148,0.8152514971829139
AMD_vol_20d,0.0,0.03464623552157834,0.015282092871329084,0.0090485955352777,0.1269710974410197,2.172541844464362
AMD_volchg_5d,0.0,0.09869867353073869,0.7390500485670809,-1.0,16.03312812537897,6.157203706871538
MU_ret_1d,0.0,0.0017615530956249983,0.03177233458756912,-0.1981856274741957,0.1929161183526131,0.1593746746699005
MU_ret_5d,0.0,0.008987697902712167,0.07242690204955309,-0.2775502514632474,0.4668301670195842,0.3297429932073562
MU_ret_20d,0.0,0.03545191689468088,0.1497454220147098,-0.4217369952306429,0.9972610348240364,1.1778735209848128
MU_vol_20d,0.0,0.029370801197294134,0.011455491627486906,0.0102201539705612,0.0843245078263352,1.535562112103166
MU_volchg_5d,0.0,0.06389815154720514,0.5295973437702952,-0.784484587527972,4.799189881930428,2.7073322153513084
INTC_ret_1d,0.0,0.0008931434450135864,0.02609403076510762,-0.2605851942731478,0.2359988383395475,0.3416529637402569
INTC_ret_5d,0.0,0.004476994288817994,0.058697979304744116,-0.382238129065952,0.4917640695954344,0.7985469080951174
INTC_ret_20d,0.0,0.017586391535705063,0.13030669764481725,-0.4554057828274291,1.2254825689815676,2.5787871949892125
